Compiling for 128 parallel environments...
Compilation time: 1.0869s
Running benchmark (1 samples)...

Results saved to: times.json
Collecting data...
Generating '/tmp/nsys-report-7638.qdstrm'

[1/8] [0%                          ] octax_nsys.nsys-rep
[1/8] [========================100%] octax_nsys.nsys-rep

[2/8] [0%                          ] octax_nsys.sqlite
[2/8] [========================100%] octax_nsys.sqlite
[3/8] Executing 'nvtx_sum' stats report

 Time (%)  Total Time (ns)  Instances     Avg (ns)         Med (ns)        Min (ns)       Max (ns)     StdDev (ns)    Style                                                  Range                                                
      0,0              902          1            902,0            902,0            902            902           0,0  PushPop  TSL:XlaPass:#name=move_copy_to_users,module=jit_convert_element_type,program_id=21#                 
      0,0              902          1            902,0            902,0            902            902           0,0  PushPop  TSL:XlaPass:#name=operand_upcaster,module=jit_broadcast_in_dim,program_id=69#                       
      0,0              901          2            450,0            450,0            386            515          91,0  PushPop  TSL:XlaPass:#name=dot-algorithm-rewriter,module=jit_convert_element_type,program_id=29#             
      0,0              901          1            901,0            901,0            901            901           0,0  PushPop  TSL:XlaPass:#name=gemm-fusion-swap-operands,module=jit_dynamic_slice,program_id=49#                 
      0,0              901          2            450,0            450,0            345            556         149,0  PushPop  TSL:XlaPass:#name=reshape-decomposer,module=jit_convert_element_type,program_id=3#                  
      0,0              901          1            901,0            901,0            901            901           0,0  PushPop  TSL:XlaPass:#name=while-loop-constant-sinking,module=jit_broadcast_in_dim,program_id=79#            
      0,0              900          1            900,0            900,0            900            900           0,0  PushPop  TSL:XlaPass:#name=all-gather-bcast-reorder,module=jit_subtract,program_id=59#                       
      0,0              900          1            900,0            900,0            900            900           0,0  PushPop  TSL:XlaPass:#name=all-gather-remove-degenerate-dims,module=jit_broadcast_in_dim,program_id=73#      
      0,0              900          1            900,0            900,0            900            900           0,0  PushPop  TSL:XlaPass:#name=all-reduce-folder,module=jit__squeeze,program_id=45#                              
      0,0              900          1            900,0            900,0            900            900           0,0  PushPop  TSL:XlaPass:#name=convert-memory-placement-to-internal-annotations,module=jit__threefry_seed,progra…
      0,0              900          1            900,0            900,0            900            900           0,0  PushPop  TSL:XlaPass:#name=tree-reduction-rewriter,module=jit_convert_element_type,program_id=15#            
      0,0              900          1            900,0            900,0            900            900           0,0  PushPop  TSL:XlaPass:#name=while-loop-trip-count-annotator,module=jit_broadcast_in_dim,program_id=77#        
      0,0              899          1            899,0            899,0            899            899           0,0  PushPop  TSL:XlaPass:#name=convert-memory-placement-to-internal-annotations,module=jit_convert_element_type,…
      0,0              899          1            899,0            899,0            899            899           0,0  PushPop  TSL:XlaPass:#name=convolution_4d_expander,module=jit_floor_divide,program_id=55#                    
      0,0              899          2            449,0            449,0            400            499          70,0  PushPop  TSL:XlaPass:#name=dot-algorithm-rewriter,module=jit_broadcast_in_dim,program_id=37#                 
      0,0              899          1            899,0            899,0            899            899           0,0  PushPop  TSL:XlaPass:#name=move_copy_to_users,module=jit_convert_element_type,program_id=43#                 
      0,0              899          1            899,0            899,0            899            899           0,0  PushPop  TSL:XlaPass:#name=reduction-dimension-grouper,module=jit_floor_divide,program_id=55#                
      0,0              898          1            898,0            898,0            898            898           0,0  PushPop  TSL:XlaPass:#name=all-gather-bcast-reorder,module=jit_broadcast_in_dim,program_id=71#               
      0,0              898          1            898,0            898,0            898            898           0,0  PushPop  TSL:XlaPass:#name=fusion-dynamic-memcpy-rewriter,module=jit__squeeze,program_id=45#                 
      0,0              898          1            898,0            898,0            898            898           0,0  PushPop  TSL:XlaPass:#name=reduction-splitter,module=jit_convert_element_type,program_id=23#                 
      0,0              896          1            896,0            896,0            896            896           0,0  PushPop  TSL:XlaPass:#name=all-gather-bcast-reorder,module=jit_squeeze,program_id=51#                        
      0,0              896          2            448,0            448,0            359            537         125,0  PushPop  TSL:XlaPass:#name=broadcast_canonicalizer,module=jit_convert_element_type,program_id=21#            
      0,0              896          1            896,0            896,0            896            896           0,0  PushPop  TSL:XlaPass:#name=collective-permute-combiner,module=jit_broadcast_in_dim,program_id=77#            
      0,0              896          1            896,0            896,0            896            896           0,0  PushPop  TSL:XlaPass:#name=fusion-dynamic-memcpy-rewriter,module=jit_squeeze,program_id=51#                  
      0,0              895          2            447,0            447,0            405            490          60,0  PushPop  TSL:XlaPass:#name=dot-algorithm-rewriter,module=jit_convert_element_type,program_id=43#             
      0,0              895          2            447,0            447,0            360            535         123,0  PushPop  TSL:XlaPass:#name=transpose-dimension-grouper,module=jit_broadcast_in_dim,program_id=33#            
      0,0              894          1            894,0            894,0            894            894           0,0  PushPop  TSL:XlaPass:#name=all-reduce-promotion,module=jit_reset,program_id=65#                              
      0,0              894          1            894,0            894,0            894            894           0,0  PushPop  TSL:XlaPass:#name=fusion-block-level-rewriter,module=jit_broadcast_in_dim,program_id=13#            
      0,0              894          1            894,0            894,0            894            894           0,0  PushPop  TSL:XlaPass:#name=tree-reduction-rewriter,module=jit_broadcast_in_dim,program_id=67#                
      0,0              893          1            893,0            893,0            893            893           0,0  PushPop  TSL:XlaPass:#name=collective-permute-combiner,module=jit_convert_element_type,program_id=15#        
      0,0              893          1            893,0            893,0            893            893           0,0  PushPop  TSL:XlaPass:#name=reduce-scatter-reassociate,module=jit_convert_element_type,program_id=15#         
      0,0              892          1            892,0            892,0            892            892           0,0  PushPop  TSL:Thunk:#name=jit(rollout)/vmap(jit(rollout))/while/body/closed_call/jit(step)/while/body/closed_…
      0,0              892          2            446,0            446,0            359            533         123,0  PushPop  TSL:XlaPass:#name=cublas-gemm-broadcast-folding-rewriter,module=jit_convert_element_type,program_id…
      0,0              892          2            446,0            446,0            369            523         108,0  PushPop  TSL:XlaPass:#name=transpose-dimension-grouper,module=jit_broadcast_in_dim,program_id=35#            
      0,0              891          1            891,0            891,0            891            891           0,0  PushPop  TSL:Thunk:#name=jit(rollout)/vmap(jit(rollout)),hlo_op=loop_convert_fusion#                         
      0,0              891          1            891,0            891,0            891            891           0,0  PushPop  TSL:XlaPass:#name=collective-permute-combiner,module=jit_scatter,program_id=41#                     
      0,0              891          1            891,0            891,0            891            891           0,0  PushPop  TSL:XlaPass:#name=convert-memory-placement-to-internal-annotations,module=jit_broadcast_in_dim,prog…
      0,0              890          1            890,0            890,0            890            890           0,0  PushPop  TSL:XlaPass:#name=all-gather-remove-degenerate-dims,module=jit_remainder,program_id=57#             
      0,0              890          1            890,0            890,0            890            890           0,0  PushPop  TSL:XlaPass:#name=cudnn_pad_for_convolutions,module=jit_broadcast_in_dim,program_id=37#             
      0,0              890          1            890,0            890,0            890            890           0,0  PushPop  TSL:XlaPass:#name=result_caster,module=jit_convert_element_type,program_id=23#                      
      0,0              889          1            889,0            889,0            889            889           0,0  PushPop  TSL:XlaPass:#name=collective-permute-combiner,module=jit_convert_element_type,program_id=29#        
      0,0              889          1            889,0            889,0            889            889           0,0  PushPop  TSL:XlaPass:#name=fusion-block-level-rewriter,module=jit_scatter,program_id=47#                     
      0,0              889          1            889,0            889,0            889            889           0,0  PushPop  TSL:XlaPass:#name=host_compute_asyncifier,module=jit_broadcast_in_dim,program_id=33#                
      0,0              889          1            889,0            889,0            889            889           0,0  PushPop  TSL:XlaPass:#name=simplify-while-loops,module=jit_broadcast_in_dim,program_id=81#                   
      0,0              889          1            889,0            889,0            889            889           0,0  PushPop  TSL:XlaPass:#name=stochastic_convert_decomposer,module=jit_broadcast_in_dim,program_id=83#          
      0,0              888          1            888,0            888,0            888            888           0,0  PushPop  TSL:Thunk:#hlo_op=copy.192#                                                                         
      0,0              888          1            888,0            888,0            888            888           0,0  PushPop  TSL:XlaPass:#name=all-gather-bcast-reorder,module=jit_broadcast_in_dim,program_id=37#               
      0,0              888          1            888,0            888,0            888            888           0,0  PushPop  TSL:XlaPass:#name=all-reduce-contiguous,module=jit_broadcast_in_dim,program_id=79#                  
      0,0              888          1            888,0            888,0            888            888           0,0  PushPop  TSL:XlaPass:#name=batched_gather_scatter_normalizer,module=jit_convert_element_type,program_id=29#  
      0,0              888          1            888,0            888,0            888            888           0,0  PushPop  TSL:XlaPass:#name=collective-permute-combiner,module=jit_floor_divide,program_id=55#                
      0,0              888          1            888,0            888,0            888            888           0,0  PushPop  TSL:XlaPass:#name=eigh_expander,module=jit_broadcast_in_dim,program_id=79#                          
      0,0              888          1            888,0            888,0            888            888           0,0  PushPop  TSL:XlaPass:#name=gpu-convert-async-collectives-to-sync,module=jit_broadcast_in_dim,program_id=85#  
      0,0              887          1            887,0            887,0            887            887           0,0  PushPop  TSL:XlaPass:#name=all-gather-bcast-reorder,module=jit_convert_element_type,program_id=3#            
      0,0              886          1            886,0            886,0            886            886           0,0  PushPop  TSL:XlaPass:#name=fusion-block-level-rewriter,module=jit_broadcast_in_dim,program_id=35#            
      0,0              886          1            886,0            886,0            886            886           0,0  PushPop  TSL:XlaPass:#name=tree-reduction-rewriter,module=jit_broadcast_in_dim,program_id=77#                
      0,0              885          1            885,0            885,0            885            885           0,0  PushPop  TSL:XlaPass:#name=all-gather-optimizer,module=jit_remainder,program_id=57#                          
      0,0              885          1            885,0            885,0            885            885           0,0  PushPop  TSL:XlaPass:#name=gemm-fusion-swap-operands,module=jit_rollout,program_id=87#                       
      0,0              885          1            885,0            885,0            885            885           0,0  PushPop  TSL:XlaPass:#name=shardy-xla,module=jit_broadcast_in_dim,program_id=27#                             
      0,0              885          1            885,0            885,0            885            885           0,0  PushPop  TSL:XlaPass:#name=simplify-while-loops,module=jit_broadcast_in_dim,program_id=75#                   
      0,0              884          1            884,0            884,0            884            884           0,0  PushPop  TSL:Thunk:#hlo_op=copy.185#                                                                         
      0,0              884          1            884,0            884,0            884            884           0,0  PushPop  TSL:XlaPass:#name=all-gather-bcast-reorder,module=jit_broadcast_in_dim,program_id=27#               
      0,0              884          1            884,0            884,0            884            884           0,0  PushPop  TSL:XlaPass:#name=reduction-degenerate-dim-remover,module=jit_remainder,program_id=57#              
      0,0              883          2            441,0            441,0            367            516         105,0  PushPop  TSL:XlaPass:#name=dot-algorithm-rewriter,module=jit_dynamic_slice,program_id=49#                    
      0,0              883          1            883,0            883,0            883            883           0,0  PushPop  TSL:XlaPass:#name=reduce-scatter-reassociate,module=jit_broadcast_in_dim,program_id=81#             
      0,0              883          1            883,0            883,0            883            883           0,0  PushPop  TSL:XlaPass:#name=reduce-scatter-reassociate,module=jit_multiply,program_id=61#                     
      0,0              883          1            883,0            883,0            883            883           0,0  PushPop  TSL:XlaPass:#name=reduction-splitter,module=jit_broadcast_in_dim,program_id=11#                     
      0,0              882          1            882,0            882,0            882            882           0,0  PushPop  TSL:XlaPass:#name=simplify-while-loops,module=jit_broadcast_in_dim,program_id=67#                   
      0,0              881          1            881,0            881,0            881            881           0,0  PushPop  TSL:XlaPass:#name=all-reduce-reassociate,module=jit_convert_element_type,program_id=23#             
      0,0              881          1            881,0            881,0            881            881           0,0  PushPop  TSL:XlaPass:#name=convert-memory-placement-to-internal-annotations,module=jit_broadcast_in_dim,prog…
      0,0              881          2            440,0            440,0            377            504          89,0  PushPop  TSL:XlaPass:#name=dot-algorithm-rewriter,module=jit_reset,program_id=65#                            
      0,0              881          1            881,0            881,0            881            881           0,0  PushPop  TSL:XlaPass:#name=fusion-block-level-rewriter,module=jit_broadcast_in_dim,program_id=75#            
      0,0              881          1            881,0            881,0            881            881           0,0  PushPop  TSL:XlaPass:#name=tree-reduction-rewriter,module=jit_broadcast_in_dim,program_id=69#                
      0,0              880          1            880,0            880,0            880            880           0,0  PushPop  TSL:XlaPass:#name=bitcast_dtypes_expander,module=jit_scatter,program_id=41#                         
      0,0              880          1            880,0            880,0            880            880           0,0  PushPop  TSL:XlaPass:#name=block-scaling-rewriter,module=jit_convert_element_type,program_id=1#              
      0,0              880          1            880,0            880,0            880            880           0,0  PushPop  TSL:XlaPass:#name=collective-permute-combiner,module=jit_broadcast_in_dim,program_id=73#            
      0,0              880          1            880,0            880,0            880            880           0,0  PushPop  TSL:XlaPass:#name=reduction-degenerate-dim-remover,module=jit_scatter,program_id=47#                
      0,0              880          1            880,0            880,0            880            880           0,0  PushPop  TSL:XlaPass:#name=reduction-dimension-grouper,module=jit_multiply,program_id=61#                    
      0,0              879          1            879,0            879,0            879            879           0,0  PushPop  TSL:XlaPass:#name=all-reduce-reassociate,module=jit_iota,program_id=7#                              
      0,0              879          1            879,0            879,0            879            879           0,0  PushPop  TSL:XlaPass:#name=collective-permute-combiner,module=jit__threefry_seed,program_id=5#               
      0,0              879          1            879,0            879,0            879            879           0,0  PushPop  TSL:XlaPass:#name=explicit-stream-annotation-async-wrapper,module=jit__threefry_split,program_id=63#
      0,0              879          1            879,0            879,0            879            879           0,0  PushPop  TSL:XlaPass:#name=reduction-splitter,module=jit_iota,program_id=7#                                  
      0,0              879          2            439,0            439,0            350            529         126,0  PushPop  TSL:XlaPass:#name=reshape-decomposer,module=jit_convert_element_type,program_id=17#                 
      0,0              879          1            879,0            879,0            879            879           0,0  PushPop  TSL:XlaPass:#name=tree-reduction-rewriter,module=jit_broadcast_in_dim,program_id=85#                
      0,0              878          1            878,0            878,0            878            878           0,0  PushPop  TSL:XlaPass:#name=all-gather-bcast-reorder,module=jit_convert_element_type,program_id=25#           
      0,0              878          1            878,0            878,0            878            878           0,0  PushPop  TSL:XlaPass:#name=all-reduce-folder,module=jit_convert_element_type,program_id=53#                  
      0,0              878          1            878,0            878,0            878            878           0,0  PushPop  TSL:XlaPass:#name=fusion-block-level-rewriter,module=jit_broadcast_in_dim,program_id=85#            
      0,0              878          1            878,0            878,0            878            878           0,0  PushPop  TSL:XlaPass:#name=ragged-all-to-all-canonicalizer,module=jit__squeeze,program_id=39#                
      0,0              878          1            878,0            878,0            878            878           0,0  PushPop  TSL:XlaPass:#name=reduce-window-resizer,module=jit_broadcast_in_dim,program_id=27#                  
      0,0              878          1            878,0            878,0            878            878           0,0  PushPop  TSL:XlaPass:#name=reduction-splitter,module=jit_broadcast_in_dim,program_id=71#                     
      0,0              878          2            439,0            439,0            378            500          86,0  PushPop  TSL:XlaPass:#name=transpose-dimension-grouper,module=jit_squeeze,program_id=51#                     
      0,0              877          2            438,0            438,0            377            500          87,0  PushPop  TSL:XlaPass:#name=cublas-gemm-broadcast-folding-rewriter,module=jit_iota,program_id=9#              
      0,0              876          1            876,0            876,0            876            876           0,0  PushPop  TSL:XlaPass:#name=all-gather-dynamic-slice-simplifier,module=jit_convert_element_type,program_id=1# 
      0,0              876          2            438,0            438,0            362            514         107,0  PushPop  TSL:XlaPass:#name=topk-decomposer,module=jit_iota,program_id=7#                                     
      0,0              876          1            876,0            876,0            876            876           0,0  PushPop  TSL:XlaPass:#name=triangular-solve-rewriter,module=jit_broadcast_in_dim,program_id=79#              
      0,0              875          2            437,0            437,0            373            502          91,0  PushPop  TSL:XlaPass:#name=conditional-canonicalizer,module=jit_broadcast_in_dim,program_id=19#              
      0,0              875          2            437,0            437,0            325            550         159,0  PushPop  TSL:XlaPass:#name=dot-algorithm-rewriter,module=jit_broadcast_in_dim,program_id=13#                 
      0,0              874          1            874,0            874,0            874            874           0,0  PushPop  TSL:XlaPass:#name=dot_decomposer,module=jit_scatter,program_id=47#                                  
      0,0              874          1            874,0            874,0            874            874           0,0  PushPop  TSL:XlaPass:#name=host-offloading-prepare-convert-to-custom-call,module=jit_iota,program_id=9#      
      0,0              873          1            873,0            873,0            873            873           0,0  PushPop  TSL:Thunk:#hlo_op=input_scatter_fusion.3#                                                           
      0,0              873          1            873,0            873,0            873            873           0,0  PushPop  TSL:XlaPass:#name=all-reduce-reassociate,module=jit__squeeze,program_id=45#                         
      0,0              873          1            873,0            873,0            873            873           0,0  PushPop  TSL:XlaPass:#name=dot-strength-reduction,module=jit_broadcast_in_dim,program_id=79#                 
      0,0              873          1            873,0            873,0            873            873           0,0  PushPop  TSL:XlaPass:#name=ragged_dot_rewriter,module=jit_broadcast_in_dim,program_id=27#                    
      0,0              873          1            873,0            873,0            873            873           0,0  PushPop  TSL:XlaPass:#name=simplify-while-loops,module=jit_broadcast_in_dim,program_id=33#                   
      0,0              873          2            436,0            436,0            337            536         140,0  PushPop  TSL:XlaPass:#name=transpose-dimension-grouper,module=jit_broadcast_in_dim,program_id=69#            
      0,0              872          1            872,0            872,0            872            872           0,0  PushPop  TSL:XlaPass:#name=batchnorm_expander,module=jit__threefry_seed,program_id=5#                        
      0,0              872          1            872,0            872,0            872            872           0,0  PushPop  TSL:XlaPass:#name=collective-permute-combiner,module=jit_convert_element_type,program_id=17#        
      0,0              872          2            436,0            436,0            418            454          25,0  PushPop  TSL:XlaPass:#name=conditional-canonicalizer,module=jit_convert_element_type,program_id=23#          
      0,0              872          1            872,0            872,0            872            872           0,0  PushPop  TSL:XlaPass:#name=convert-memory-placement-to-internal-annotations,module=jit_broadcast_in_dim,prog…
      0,0              872          2            436,0            436,0            306            566         183,0  PushPop  TSL:XlaPass:#name=topk-decomposer,module=jit_convert_element_type,program_id=15#                    
      0,0              872          1            872,0            872,0            872            872           0,0  PushPop  TSL:XlaPass:#name=while-loop-trip-count-annotator,module=jit_convert_element_type,program_id=23#    
      0,0              871          1            871,0            871,0            871            871           0,0  PushPop  TSL:XlaPass:#name=convert-memory-placement-to-internal-annotations,module=jit_dynamic_slice,program…
      0,0              871          1            871,0            871,0            871            871           0,0  PushPop  TSL:XlaPass:#name=convolution-pred-expander,module=jit_remainder,program_id=57#                     
      0,0              871          2            435,0            435,0            370            501          92,0  PushPop  TSL:XlaPass:#name=dot-algorithm-rewriter,module=jit_scatter,program_id=47#                          
      0,0              871          1            871,0            871,0            871            871           0,0  PushPop  TSL:XlaPass:#name=gemv-rewriter,module=jit_broadcast_in_dim,program_id=81#                          
      0,0              871          1            871,0            871,0            871            871           0,0  PushPop  TSL:XlaPass:#name=ragged-all-to-all-canonicalizer,module=jit_convert_element_type,program_id=17#    
      0,0              871          2            435,0            435,0            368            503          95,0  PushPop  TSL:XlaPass:#name=reshape-decomposer,module=jit_broadcast_in_dim,program_id=19#                     
      0,0              870          1            870,0            870,0            870            870           0,0  PushPop  TSL:XlaPass:#name=async-collective-annotator,module=jit_convert_element_type,program_id=17#         
      0,0              870          1            870,0            870,0            870            870           0,0  PushPop  TSL:XlaPass:#name=batchnorm_expander,module=jit_broadcast_in_dim,program_id=69#                     
      0,0              870          1            870,0            870,0            870            870           0,0  PushPop  TSL:XlaPass:#name=collective-permute-combiner,module=jit__squeeze,program_id=45#                    
      0,0              870          1            870,0            870,0            870            870           0,0  PushPop  TSL:XlaPass:#name=gpu-convert-async-collectives-to-sync,module=jit__threefry_split,program_id=63#   
      0,0              870          1            870,0            870,0            870            870           0,0  PushPop  TSL:XlaPass:#name=host_compute_asyncifier,module=jit_broadcast_in_dim,program_id=69#                
      0,0              870          1            870,0            870,0            870            870           0,0  PushPop  TSL:XlaPass:#name=shardy-xla,module=jit_convert_element_type,program_id=29#                         
      0,0              870          1            870,0            870,0            870            870           0,0  PushPop  TSL:XlaPass:#name=simplify-while-loops,module=jit__squeeze,program_id=45#                           
      0,0              870          1            870,0            870,0            870            870           0,0  PushPop  TSL:XlaPass:#name=topk-specializer,module=jit__threefry_seed,program_id=5#                          
      0,0              869          1            869,0            869,0            869            869           0,0  PushPop  TSL:XlaPass:#name=scaled-dot-rewriter,module=jit_reset,program_id=65#                               
      0,0              868          1            868,0            868,0            868            868           0,0  PushPop  TSL:XlaPass:#name=move_copy_to_users,module=jit_convert_element_type,program_id=3#                  
      0,0              868          1            868,0            868,0            868            868           0,0  PushPop  TSL:XlaPass:#name=reduce-scatter-reassociate,module=jit_broadcast_in_dim,program_id=83#             
      0,0              868          1            868,0            868,0            868            868           0,0  PushPop  TSL:XlaPass:#name=while-loop-trip-count-annotator,module=jit_convert_element_type,program_id=43#    
      0,0              867          1            867,0            867,0            867            867           0,0  PushPop  TSL:XlaPass:#name=all-gather-dynamic-slice-simplifier,module=jit_broadcast_in_dim,program_id=79#    
      0,0              867          1            867,0            867,0            867            867           0,0  PushPop  TSL:XlaPass:#name=all-gather-remove-degenerate-dims,module=jit_multiply,program_id=61#              
      0,0              867          1            867,0            867,0            867            867           0,0  PushPop  TSL:XlaPass:#name=batchnorm_expander,module=jit_broadcast_in_dim,program_id=77#                     
      0,0              867          2            433,0            433,0            359            508         105,0  PushPop  TSL:XlaPass:#name=dot-algorithm-rewriter,module=jit_broadcast_in_dim,program_id=71#                 
      0,0              867          1            867,0            867,0            867            867           0,0  PushPop  TSL:XlaPass:#name=fusion-block-level-rewriter,module=jit_iota,program_id=9#                         
      0,0              867          1            867,0            867,0            867            867           0,0  PushPop  TSL:XlaPass:#name=shardy-xla,module=jit_broadcast_in_dim,program_id=75#                             
      0,0              867          1            867,0            867,0            867            867           0,0  PushPop  TSL:XlaPass:#name=while-loop-trip-count-annotator,module=jit_broadcast_in_dim,program_id=19#        
      0,0              867          1            867,0            867,0            867            867           0,0  PushPop  TSL:XlaPass:#name=while-loop-trip-count-annotator,module=jit_broadcast_in_dim,program_id=27#        
      0,0              866          1            866,0            866,0            866            866           0,0  PushPop  TSL:XlaPass:#name=autotuner,module=jit_broadcast_in_dim,program_id=77#                              
      0,0              865          1            865,0            865,0            865            865           0,0  PushPop  TSL:XlaPass:#name=batched_gather_scatter_normalizer,module=jit_scatter,program_id=47#               
      0,0              865          1            865,0            865,0            865            865           0,0  PushPop  TSL:XlaPass:#name=fusion-block-level-rewriter,module=jit_broadcast_in_dim,program_id=73#            
      0,0              865          1            865,0            865,0            865            865           0,0  PushPop  TSL:XlaPass:#name=tree-reduction-rewriter,module=jit_broadcast_in_dim,program_id=33#                
      0,0              864          2            432,0            432,0            346            518         121,0  PushPop  TSL:XlaPass:#name=broadcast_canonicalizer,module=jit_convert_element_type,program_id=15#            
      0,0              864          1            864,0            864,0            864            864           0,0  PushPop  TSL:XlaPass:#name=explicit-collectives-group-async-wrapper,module=jit_convert_element_type,program_…
      0,0              864          1            864,0            864,0            864            864           0,0  PushPop  TSL:XlaPass:#name=gpu-convert-async-collectives-to-sync,module=jit_broadcast_in_dim,program_id=81#  
      0,0              864          1            864,0            864,0            864            864           0,0  PushPop  TSL:XlaPass:#name=host-offloading-prepare-convert-to-custom-call,module=jit_convert_element_type,pr…
      0,0              864          2            432,0            432,0            337            527         134,0  PushPop  TSL:XlaPass:#name=reshape-decomposer,module=jit_convert_element_type,program_id=15#                 
      0,0              864          1            864,0            864,0            864            864           0,0  PushPop  TSL:XlaPass:#name=rng-expander,module=jit_broadcast_in_dim,program_id=79#                           
      0,0              864          1            864,0            864,0            864            864           0,0  PushPop  TSL:XlaPass:#name=while-loop-trip-count-annotator,module=jit_broadcast_in_dim,program_id=85#        
      0,0              863          1            863,0            863,0            863            863           0,0  PushPop  TSL:XlaPass:#name=batchnorm_expander,module=jit_scatter,program_id=41#                              
      0,0              863          2            431,0            431,0            348            515         118,0  PushPop  TSL:XlaPass:#name=broadcast_canonicalizer,module=jit__squeeze,program_id=45#                        
      0,0              863          2            431,0            431,0            346            517         120,0  PushPop  TSL:XlaPass:#name=dot-algorithm-rewriter,module=jit_broadcast_in_dim,program_id=67#                 
      0,0              863          2            431,0            431,0            310            553         171,0  PushPop  TSL:XlaPass:#name=dot-algorithm-rewriter,module=jit_multiply,program_id=61#                         
      0,0              863          1            863,0            863,0            863            863           0,0  PushPop  TSL:XlaPass:#name=gpu-convert-async-collectives-to-sync,module=jit_iota,program_id=9#               
      0,0              863          1            863,0            863,0            863            863           0,0  PushPop  TSL:XlaPass:#name=sort-rewriter,module=jit_broadcast_in_dim,program_id=31#                          
      0,0              863          1            863,0            863,0            863            863           0,0  PushPop  TSL:XlaPass:#name=tree-reduction-rewriter,module=jit_dynamic_slice,program_id=49#                   
      0,0              862          1            862,0            862,0            862            862           0,0  PushPop  TSL:Thunk:#name=jit(reset)/concatenate,hlo_op=loop_broadcast_fusion.2#                              
      0,0              862          1            862,0            862,0            862            862           0,0  PushPop  TSL:XlaPass:#name=all-gather-remove-degenerate-dims,module=jit_broadcast_in_dim,program_id=85#      
      0,0              862          1            862,0            862,0            862            862           0,0  PushPop  TSL:XlaPass:#name=batched_gather_scatter_normalizer,module=jit__squeeze,program_id=39#              
      0,0              862          1            862,0            862,0            862            862           0,0  PushPop  TSL:XlaPass:#name=host-offloading-prepare-convert-to-custom-call,module=jit_convert_element_type,pr…
      0,0              862          1            862,0            862,0            862            862           0,0  PushPop  TSL:XlaPass:#name=tree-reduction-rewriter,module=jit_convert_element_type,program_id=21#            
      0,0              861          1            861,0            861,0            861            861           0,0  PushPop  TSL:XlaPass:#name=dynamic_padder,module=jit__squeeze,program_id=45#                                 
      0,0              861          1            861,0            861,0            861            861           0,0  PushPop  TSL:XlaPass:#name=host_compute_asyncifier,module=jit_broadcast_in_dim,program_id=85#                
      0,0              861          1            861,0            861,0            861            861           0,0  PushPop  TSL:XlaPass:#name=simplify-while-loops,module=jit__squeeze,program_id=39#                           
      0,0              861          2            430,0            430,0            323            538         152,0  PushPop  TSL:XlaPass:#name=topk-decomposer,module=jit__squeeze,program_id=45#                                
      0,0              860          1            860,0            860,0            860            860           0,0  PushPop  TSL:XlaPass:#name=gpu-convert-async-collectives-to-sync,module=jit_iota,program_id=7#               
      0,0              860          1            860,0            860,0            860            860           0,0  PushPop  TSL:XlaPass:#name=shardy-xla,module=jit_broadcast_in_dim,program_id=13#                             
      0,0              860          2            430,0            430,0            336            524         132,0  PushPop  TSL:XlaPass:#name=topk-decomposer,module=jit_iota,program_id=9#                                     
      0,0              859          1            859,0            859,0            859            859           0,0  PushPop  TSL:XlaPass:#name=gpu-convert-async-collectives-to-sync,module=jit_broadcast_in_dim,program_id=35#  
      0,0              859          1            859,0            859,0            859            859           0,0  PushPop  TSL:XlaPass:#name=reduce-scatter-creator,module=jit_remainder,program_id=57#                        
      0,0              859          1            859,0            859,0            859            859           0,0  PushPop  TSL:XlaPass:#name=while-loop-trip-count-annotator,module=jit_broadcast_in_dim,program_id=35#        
      0,0              859          1            859,0            859,0            859            859           0,0  PushPop  TSL:XlaPass:#name=while-loop-trip-count-annotator,module=jit_multiply,program_id=61#                
      0,0              858          1            858,0            858,0            858            858           0,0  PushPop  TSL:XlaPass:#name=all-gather-bcast-reorder,module=jit_broadcast_in_dim,program_id=13#               
      0,0              858          2            429,0            429,0            354            504         106,0  PushPop  TSL:XlaPass:#name=dot-algorithm-rewriter,module=jit_convert_element_type,program_id=53#             
      0,0              857          1            857,0            857,0            857            857           0,0  PushPop  TSL:XlaPass:#name=all-gather-remove-degenerate-dims,module=jit_scatter,program_id=41#               
      0,0              857          1            857,0            857,0            857            857           0,0  PushPop  TSL:XlaPass:#name=gpu-convert-async-collectives-to-sync,module=jit_dynamic_slice,program_id=49#     
      0,0              857          1            857,0            857,0            857            857           0,0  PushPop  TSL:XlaPass:#name=while-loop-trip-count-annotator,module=jit_broadcast_in_dim,program_id=31#        
      0,0              856          1            856,0            856,0            856            856           0,0  PushPop  TSL:XlaPass:#name=all-reduce-promotion,module=jit_broadcast_in_dim,program_id=73#                   
      0,0              856          1            856,0            856,0            856            856           0,0  PushPop  TSL:XlaPass:#name=convert-memory-placement-to-internal-annotations,module=jit_broadcast_in_dim,prog…
      0,0              856          1            856,0            856,0            856            856           0,0  PushPop  TSL:XlaPass:#name=dynamic-index-splitter,module=jit_broadcast_in_dim,program_id=79#                 
      0,0              856          1            856,0            856,0            856            856           0,0  PushPop  TSL:XlaPass:#name=reduction-layout-normalizer,module=jit_floor_divide,program_id=55#                
      0,0              856          1            856,0            856,0            856            856           0,0  PushPop  TSL:XlaPass:#name=simplify-while-loops,module=jit_multiply,program_id=61#                           
